Author,Journal ,Country,Year,Study_id,Ingredient_type,Feed_general,Feed_specific,Feed_general_2,Feed_specific_2,Amino_supp,Supplement_type,FM_FO,Fish_group,Fish_sp,Fish_scientific,Life_stage,Replacement,FCR,Marine_ingredient_change,Crop_change,n3n6,Tissue,,,
de Cruz CR,Aquaculture ,USA,2018,10.9,Single ,Bacteria,,,,Y,Methionine,FM,Marine fishes,Striped bass,Morone sp.,Juvenile,15,1.59,-0.4,-15,,,,,
Tulli F,Journal of Aquatic Food Production Technology,Italy,2012,18,Single ,Algae ,Tetraselmis sp.,,,N,,FM,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,0,1.35,0,0,,,,,
Tulli F,Journal of Aquatic Food Production Technology,Italy,2012,18,Single ,Algae ,Tetraselmis sp.,,,N,,FM,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,10,1.41,0.2,-22,,,,,
Tulli F,Journal of Aquatic Food Production Technology,Italy,2012,18,Single ,Algae ,Tetraselmis sp.,,,N,,FM,Marine fishes,European seabass,Dicentrarchus labrax,Juvenile,20,1.43,0.3,-45,,,,,
Kiron V,Frontiers in Marine Science,Norway,2016,1,Single ,Algae ,Desmodesmus sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Smolt,0,0.81,0,0,,,,,
Kiron V,Frontiers in Marine Science,Norway,2016,1,Single ,Algae ,Desmodesmus sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Smolt,15,0.86,-1,0,,,,,
Kiron V,Frontiers in Marine Science,Norway,2016,1,Single ,Algae ,Desmodesmus sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Smolt,25,0.91,-2,0,,,,,
Sorensen M,PLoS One,Norway,2017,2,Single ,Algae ,Nannochloropsis sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,0,0.81,0,0,,,,,
Sorensen M,PLoS One,Norway,2017,2,Single ,Algae ,Nannochloropsis sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,15,0.86,0,0,,,,,
Sorensen M,PLoS One,Norway,2017,2,Single ,Algae ,Nannochloropsis sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,30,1,-0.5,0,,,,,
Sorensen M,Aquaculture ,Norway,2016,3,Single ,Algae ,Phaeodactylum sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,0,0.83,0,0,,,,,
Sorensen M,Aquaculture ,Norway,2016,3,Single ,Algae ,Phaeodactylum sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,5,0.81,0,0,,,,,
Sorensen M,Aquaculture ,Norway,2016,3,Single ,Algae ,Phaeodactylum sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,10,0.82,0,0,,,,,
Kousalaki K,Journal of Nutritional Studies,Norway,2015,4,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Smolt,0,0.78,0,0,1.88,Muscle,,,
Kousalaki K,Journal of Nutritional Studies,Norway,2015,4,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Smolt,3,0.83,0,-2,1.93,Muscle,,,
Kousalaki K,Journal of Nutritional Studies,Norway,2015,4,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Smolt,20,0.88,-24.8,-11,2.03,Muscle,,,
Kousalaki K,Journal of Nutritional Studies,Norway,2015,4,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Smolt,100,0.83,0,1,1.38,Muscle,,,
Miller MR,Comparative Biochemistry and Physiology,Australia ,2007,5,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Parr,0,1.52,0,0,4.4,Muscle,,,
Miller MR,Comparative Biochemistry and Physiology,Australia ,2007,5,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Parr,100,1.72,0,0,2.6,Muscle,,,
Sprague M,Food Chemistry ,UK,2015,6,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,0,1.28,0,0,2.7,Muscle,,,
Sprague M,Food Chemistry ,UK,2015,6,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,100,1.42,-1,47,1.1,Muscle,,,
Sprague M,Food Chemistry ,UK,2015,6.1,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,0,1.28,0,0,2.7,Muscle,,,
Sprague M,Food Chemistry ,UK,2015,6.1,Single ,Algae ,Schizochtrium sp. ,,,N,,FO,Salmonids,Atlantic Salmon,Salmo salar ,Post-smolt,100,1.4,-1,63,1.1,Muscle,,,
Eryalcin KM,Aquaculture Research,Spain,2013,18,Single,Algae ,,,,N,,FO,Marine fishes,Gilthead seabream,Sparus aurata,Juvenile,0,,0,0,2.43,Whole body,,,
Eryalcin KM,Aquaculture Research,Spain,2013,18,Single,Algae ,,,,N,,FO,Marine fishes,Gilthead seabream,Sparus aurata,Juvenile,100,,0,0,5.52,Whole body,,,
Eryalcin KM,Aquaculture Research,Spain,2013,18.1,Single,Algae ,,,,Y,,FO,Marine fishes,Gilthead seabream,Sparus aurata,Juvenile,0,,0,0,2.43,Whole body,,,
Eryalcin KM,Aquaculture Research,Spain,2013,18.1,Single,Algae ,,,,Y,,FO,Marine fishes,Gilthead seabream,Sparus aurata,Juvenile,4,,0,0,2.07,Whole body,,,
Eryalcin KM,Aquaculture Research,Spain,2013,18.1,Single,Algae ,,,,Y,,FO,Marine fishes,Gilthead seabream,Sparus aurata,Juvenile,100,,0,0,3.85,Whole body,,,
Eryalcin KM,Aquaculture Research,Spain,2013,18.2,Single,Algae ,,,,Y,,FO,Marine fishes,Gilthead seabream,Sparus aurata,Juvenile,0,,0,0,2.43,Whole body,,,
Eryalcin KM,Aquaculture Research,Spain,2013,18.2,Single,Algae ,,,,Y,,FO,Marine fishes,Gilthead seabream,Sparus aurata,Juvenile,100,,0,0,4.31,Whole body,,,
Abdel Warith A-WA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,19,Single ,Algae ,Ulva lactuca ,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,0,1.14,0,0,,,,,
Abdel Warith A-WA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,19,Single ,Algae ,Ulva lactuca ,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,10,1.21,0,0,,,,,
Abdel Warith A-WA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,19,Single ,Algae ,Ulva lactuca ,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,20,1.59,0,0,,,,,
Abdel Warith A-WA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,19,Single ,Algae ,Ulva lactuca ,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,30,1.76,0,0,,,,,
Al-Asgah NA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,20,Single ,Algae ,Gracillaria arcuata,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,0,0.74,0,0,,,,,
Al-Asgah NA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,20,Single ,Algae ,Gracillaria arcuata,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,10,0.78,0,0,,,,,
Al-Asgah NA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,20,Single ,Algae ,Gracillaria arcuata,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,20,1.02,0,0,,,,,
Al-Asgah NA,Saudi Journal of Biological Science ,Saudi Arabia ,2016,20,Single ,Algae ,Gracillaria arcuata,,,N,,FM,Catfish,African Catfish,Clarias gariepimus,Juvenile,30,1.3,0,0,,,,,
Anh NTN,Journal of Applied Phycology,Vietnam,2018,21,Single ,Algae ,Cladophora sp.,,,N,,FM,Shrimp ,Tiger Shrimp,Penaeus monodon,Juvenile,0,1.36,0,0,,,,,
Anh NTN,Journal of Applied Phycology,Vietnam,2018,21,Single ,Algae ,Cladophora sp.,,,N,,FM,Shrimp ,Tiger Shrimp,Penaeus monodon,Juvenile,10,1.26,0,-15,,,,,
Anh NTN,Journal of Applied Phycology,Vietnam,2018,21,Single ,Algae ,Cladophora sp.,,,N,,FM,Shrimp ,Tiger Shrimp,Penaeus monodon,Juvenile,20,1.31,0,-30,,,,,
Anh NTN,Journal of Applied Phycology,Vietnam,2018,21,Single ,Algae ,Cladophora sp.,,,N,,FM,Shrimp ,Tiger Shrimp,Penaeus monodon,Juvenile,30,1.41,0,-30,,,,,
Anh NTN,Journal of Applied Phycology,Vietnam,2018,21,Single ,Algae ,Cladophora sp.,,,N,,FM,Shrimp ,Tiger Shrimp,Penaeus monodon,Juvenile,40,1.49,0,-60,,,,,
Anh NTN,Journal of Applied Phycology,Vietnam,2018,21,Single ,Algae ,Cladophora sp.,,,N,,FM,Shrimp ,Tiger Shrimp,Penaeus monodon,Juvenile,50,1.59,0,-75,,,,,
Araujo M,Journal of Applied Phycology,Portugal,2016,22,Single ,Algae ,Gracilaria vermiculophylla,,,Y,Mixture,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Juvenile,0,1.02,0,0,,,,,
Araujo M,Journal of Applied Phycology,Portugal,2016,22,Single ,Algae ,Gracilaria vermiculophylla,,,Y,Mixture,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Juvenile,5,1.12,0.5,-8,,,,,
Araujo M,Journal of Applied Phycology,Portugal,2016,22,Single ,Algae ,Gracilaria vermiculophylla,,,Y,Mixture,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Juvenile,10,1.56,1.1,-11,,,,,
Badwy TM,8th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23,Single ,Algae ,Chlorella sp. ,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,0,2.68,,0,,,,,
Badwy TM,9th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23,Single ,Algae ,Chlorella sp. ,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,10,2.56,,-1.5,,,,,
Badwy TM,10th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23,Single ,Algae ,Chlorella sp. ,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,25,2.56,,-2,,,,,
Badwy TM,11th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23,Single ,Algae ,Chlorella sp. ,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,50,2.03,,-5,,,,,
Badwy TM,12th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23,Single ,Algae ,Chlorella sp. ,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,75,3.24,,-9,,,,,
Badwy TM,13th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23.1,Single ,Algae ,Scenedesmus sp.,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,0,2.68,,0,,,,,
Badwy TM,14th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23.1,Single ,Algae ,Scenedesmus sp.,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,10,2.59,,-1,,,,,
Badwy TM,15th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23.1,Single ,Algae ,Scenedesmus sp.,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,25,2.57,,-2,,,,,
Badwy TM,16th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23.1,Single ,Algae ,Scenedesmus sp.,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,50,1.76,,-3,,,,,
Badwy TM,17th International Symposia on Tilapia in Aquaculture ,Egypt ,2008,23.1,Single ,Algae ,Scenedesmus sp.,,,Y,Methionine,FM,Tilapia,Nile Tilapia ,Oreochromis niloticus ,Juvenile,75,2.74,,-5,,,,,
Basri NA,Journal of Applied Phycology,Malaysia,2015,24,Mixture,Algae ,Chlorella sp. ,Algae,Scenedesmus sp.,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile,0,1.59,0,0,,,,,
Basri NA,Journal of Applied Phycology,Malaysia,2015,24,Mixture,Algae ,Chlorella sp. ,Algae,Scenedesmus sp.,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile,10,1.87,0.4,-18,,,,,
Basri NA,Journal of Applied Phycology,Malaysia,2015,24,Mixture,Algae ,Chlorella sp. ,Algae,Scenedesmus sp.,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile,20,2.19,0.8,-35,,,,,
Basri NA,Journal of Applied Phycology,Malaysia,2015,24,Mixture,Algae ,Chlorella sp. ,Algae,Scenedesmus sp.,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile,30,2.4,1.2,-52,,,,,
Basri NA,Journal of Applied Phycology,Malaysia,2015,24,Mixture,Algae ,Chlorella sp. ,Algae,Scenedesmus sp.,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile,40,3.83,1.6,-70,,,,,
Cao S-P,Aquaculture Research,China,2018,25,Single ,Bacteria,Spirulina platensis ,,,N,,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,0,2.71,0,0,,,,,
Cao S-P,Aquaculture Research,China,2018,25,Single ,Bacteria,Spirulina platensis ,,,N,,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,50,2.39,0.2,10,,,,,
Cao S-P,Aquaculture Research,China,2018,25,Single ,Bacteria,Spirulina platensis ,,,N,,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,75,2.54,0.4,15,,,,,
Cao S-P,Aquaculture Research,China,2018,25,Single ,Bacteria,Spirulina platensis ,,,N,,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,100,2.53,0.5,19,,,,,
Cao S-P,Aquaculture Research,China,2018,25.1,Single ,Bacteria,Spirulina platensis ,,,N,,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,0,2.71,0,0,,,,,
Cao S-P,Aquaculture Research,China,2018,25.1,Single ,Bacteria,Spirulina platensis ,,,N,,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,100,2.34,0.5,19,,,,,
Cao S-P,Aquaculture Research,China,2018,25.2,Single ,Bacteria,Spirulina platensis ,,,Y,Lysine,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,0,2.71,0,0,,,,,
Cao S-P,Aquaculture Research,China,2018,25.2,Single ,Bacteria,Spirulina platensis ,,,Y,Lysine,FM,Carp,Gibel Carp ,Carassius auratus gibelio,Juvenile ,100,2.11,0.5,19,,,,,
El-Sheekh M,Turkish Journal of Fisheries and Aquatic Sciences,Egypt ,2014,26,Single ,Bacteria,Arthrospira platensis ,,,N,,FM,Tilapia,Hybrid Red Tilapia,Oreochromis niloticus x Oreochromis mossambicus,Fry,0,1.18,,0,,,,,
El-Sheekh M,Turkish Journal of Fisheries and Aquatic Sciences,Egypt ,2014,26,Single ,Bacteria,Arthrospira platensis ,,,N,,FM,Tilapia,Hybrid Red Tilapia,Oreochromis niloticus x Oreochromis mossambicus,Fry,50,1.11,,-14,,,,,
El-Sheekh M,Turkish Journal of Fisheries and Aquatic Sciences,Egypt ,2014,26,Single ,Bacteria,Arthrospira platensis ,,,N,,FM,Tilapia,Hybrid Red Tilapia,Oreochromis niloticus x Oreochromis mossambicus,Fry,75,1,,-34,,,,,
El-Sheekh M,Turkish Journal of Fisheries and Aquatic Sciences,Egypt ,2014,26,Single ,Bacteria,Arthrospira platensis ,,,N,,FM,Tilapia,Hybrid Red Tilapia,Oreochromis niloticus x Oreochromis mossambicus,Fry,100,1.04,,-27,,,,,
Hernandez-Flores G,The Israeli Journal of Aquaculture,Mexico,2012,27,Mixture,Soy,SBM,Bacteria,Spirulina platensis ,N,,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Fry,0,0.7,0,0,,,,,
Hernandez-Flores G,The Israeli Journal of Aquaculture,Mexico,2012,27,Mixture,Soy,SBM,Bacteria,Spirulina platensis ,N,,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Fry,100,0.9,0,300,,,,,
Hernandez-Flores G,The Israeli Journal of Aquaculture,Mexico,2012,27.1,Mixture,Soy,SBM,Bacteria,Spirulina platensis ,N,,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Fry,0,0.7,0,0,,,,,
Hernandez-Flores G,The Israeli Journal of Aquaculture,Mexico,2012,27.1,Mixture,Soy,SBM,Bacteria,Spirulina platensis ,N,,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Fry,100,0.8,0,600,,,,,
Hernandez-Flores G,The Israeli Journal of Aquaculture,Mexico,2012,27.2,Mixture,Soy,SBM,Bacteria,Spirulina platensis ,N,,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Fry,0,0.7,0,0,,,,,
Hernandez-Flores G,The Israeli Journal of Aquaculture,Mexico,2012,27.2,Mixture,Soy,SBM,Bacteria,Spirulina platensis ,N,,FM,Salmonids,Rainbow Trout ,Oncorhynchus mykiss,Fry,100,0.8,0,900,,,,,
Ju ZY,Aquaculture ,USA,2012,28,Single ,Algae ,Haematococcus pluvialis,,,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile ,0,2.28,0,0,,,,,
Ju ZY,Aquaculture ,USA,2012,28,Single ,Algae ,Haematococcus pluvialis,,,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile ,12.5,2.13,0.18,-4,,,,,
Ju ZY,Aquaculture ,USA,2012,28,Single ,Algae ,Haematococcus pluvialis,,,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile ,25,2.21,0.35,-8,,,,,
Ju ZY,Aquaculture ,USA,2012,28,Single ,Algae ,Haematococcus pluvialis,,,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile ,37.5,2.27,0.53,-12,,,,,
Ju ZY,Aquaculture ,USA,2012,28,Single ,Algae ,Haematococcus pluvialis,,,N,,FM,Shrimp ,Pacific White Shrimp,Litopenaeus vannamei,Juvenile ,50,2.22,0.71,-26,,,,,
Kalla A ,Aquaculture Science,Fiji,2015,29,Single ,Algae ,Pyropia sp.,,,N,,FM,Carp,Koi carp,Cyprinus carpio,Juvenile,0,1.4,,0,,,,,
Kalla A ,Aquaculture Science,Fiji,2015,29,Single ,Algae ,Pyropia sp.,,,N,,FM,Carp,Koi carp,Cyprinus carpio,Juvenile,15,1.3,,-25,,,,,
Kalla A ,Aquaculture Science,Fiji,2015,29,Single ,Algae ,Pyropia sp.,,,N,,FM,Carp,Koi carp,Cyprinus carpio,Juvenile,30,1.7,,-60,,,,,
Kalla A ,Aquaculture Science,Fiji,2015,29,Single ,Algae ,Pyropia sp.,,,N,,FM,Carp,Koi carp,Cyprinus carpio,Juvenile,45,2.1,,-85,,,,,
Kalla A ,Aquaculture Science,Fiji,2015,29,Single ,Algae ,Pyropia sp.,,,N,,FM,Carp,Koi carp,Cyprinus carpio,Juvenile,78,3.5,,-75,,,,,
Kiron V,Aquaculture Nutrition,Norway,2012,30,Single ,Algae ,Nanofrustulatum sp.,,,N,,FM,Salmonids,Atlantic Salmon,Salmo salar ,Grower ,0,1.14,0,0,,,,,
